# Sample input data for the quadratic fit.
# Replace with your own measurements -- columns are: x  y  sigma_y
# x [a.u.]   y [a.u.]   sigma_y [a.u.]
0.5          35         10.0
1.1          61         10.0
1.7          76         10.0
2.3          70         10.0
2.9          92         10.0
3.5          100        10.0
4.1          111        10.0
4.7          113        10.0
5.3          140        10.0
5.9          163        10.0
6.5          177        10.0
7.1          209        10.0
7.7          223        10.0
8.3          264        10.0
8.9          290        10.0
9.5          312        10.0
